timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1339139647802,159,Get /client/profileQnsAns/464,422,Unprocessable Entity,Client Get 4-1,text,false,32,159
1339139648786,151,Get client/profiles,200,OK,Client Get 4-2,text,true,5187,151
1339139649626,172,Get client/profiles/48/questions,200,OK,Client Get 4-3,text,true,17637,171
1339139650535,124,Get client/profiles/48/questions/261/answers,200,OK,Client Get 4-4,text,true,2621,124
1339139651562,173,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,110,173
1339139652353,98,Get client/channels,200,OK,Client Get 4-6,text,true,134,98
1339139653260,107,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,238,106
1339139654170,145,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,149,145
1339139655077,274,Get client/projects,200,OK,Client Get 4-9,text,true,223384,250
1339139655986,89,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,76,89
1339139656894,87,Get client/projectManagers,200,OK,Client Get 4-11,text,true,68,87
1339152269222,281,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-1,text,false,43,281
1339152270139,244,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-2,text,false,43,244
1339152271048,134,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-3,text,true,4771,134
1339152271956,208,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-4,text,true,4771,208
1339152272865,106,Get client/publisherPLSites,200,OK,Extra Profiles and Misc 6-5,text,true,110,105
1339152273774,117,Get client/channels,200,OK,Extra Profiles and Misc 6-6,text,true,134,117
1339152274682,78,Get client/defaultSettings,200,OK,Extra Profiles and Misc 6-7,text,true,238,78
1339152275590,98,Get client/additionalEmployees,200,OK,Extra Profiles and Misc 6-8,text,true,149,98
1339152276498,285,Get client/projects,200,OK,Extra Profiles and Misc 6-9,text,true,223577,269
1339152277407,106,Get client/salesRepresentatives,200,OK,Extra Profiles and Misc 6-10,text,true,76,106
1339152278316,80,Get client/projectManagers,200,OK,Extra Profiles and Misc 6-11,text,true,68,80
1339153037018,149,Get /client/profileQnsAns/464,422,Unprocessable Entity,Client Get 4-1,text,false,32,149
1339153037946,145,Get client/profiles,200,OK,Client Get 4-2,text,true,5187,145
1339153039326,184,Get client/profiles/48/questions,200,OK,Client Get 4-3,text,true,17637,182
1339153039806,179,Get client/profiles/48/questions/261/answers,200,OK,Client Get 4-4,text,true,2621,179
1339153040657,91,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,110,91
1339153041566,114,Get client/channels,200,OK,Client Get 4-6,text,true,134,114
1339153042474,94,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,238,94
1339153043383,106,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,149,106
1339153044332,346,Get client/projects,200,OK,Client Get 4-9,text,true,223577,330
1339153045303,102,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,76,102
1339153046107,87,Get client/projectManagers,200,OK,Client Get 4-11,text,true,68,87
1339158223739,188,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-1,text,false,43,188
1339158224655,209,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-2,text,false,43,208
1339158225563,139,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-3,text,true,4771,139
1339158226472,142,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-4,text,true,4771,141
1339158227381,75,Get client/publisherPLSites,200,OK,Extra Profiles and Misc 6-5,text,true,110,75
1339158228290,120,Get client/channels,200,OK,Extra Profiles and Misc 6-6,text,true,134,120
1339158229196,86,Get client/defaultSettings,200,OK,Extra Profiles and Misc 6-7,text,true,238,86
1339158230105,80,Get client/additionalEmployees,200,OK,Extra Profiles and Misc 6-8,text,true,149,79
1339158231014,242,Get client/projects,200,OK,Extra Profiles and Misc 6-9,text,true,224142,225
1339158231923,77,Get client/salesRepresentatives,200,OK,Extra Profiles and Misc 6-10,text,true,76,76
1339158232832,194,Get client/projectManagers,200,OK,Extra Profiles and Misc 6-11,text,true,68,194
1340190561403,292,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-1,text,false,43,292
1340190562308,292,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-2,text,false,43,291
1340190563216,251,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-3,text,true,4771,251
1340190564127,227,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-4,text,true,4771,227
1340190565034,192,Get client/publisherPLSites,200,OK,Extra Profiles and Misc 6-5,text,true,110,192
1340190565943,317,Get client/channels,200,OK,Extra Profiles and Misc 6-6,text,true,134,317
1340190566851,218,Get client/defaultSettings,200,OK,Extra Profiles and Misc 6-7,text,true,238,217
1340190567759,235,Get client/additionalEmployees,200,OK,Extra Profiles and Misc 6-8,text,true,149,234
1340190568668,455,Get client/projects,200,OK,Extra Profiles and Misc 6-9,text,true,228519,431
1340190569577,180,Get client/salesRepresentatives,200,OK,Extra Profiles and Misc 6-10,text,true,76,180
1340190570520,159,Get client/projectManagers,200,OK,Extra Profiles and Misc 6-11,text,true,68,158
1340248058479,372,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-1,text,false,43,371
1340248059386,369,Get /client/profileQnsAns/77,422,Unprocessable Entity,Extra Profiles and Misc 6-2,text,false,43,369
1340248060295,287,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-3,text,true,4771,287
1340248061219,190,Get client/profiles/77/questions,200,OK,Extra Profiles and Misc 6-4,text,true,4771,190
1340248062115,252,Get client/publisherPLSites,200,OK,Extra Profiles and Misc 6-5,text,true,110,252
1340248063112,273,Get client/channels,200,OK,Extra Profiles and Misc 6-6,text,true,134,273
1340248063941,208,Get client/defaultSettings,200,OK,Extra Profiles and Misc 6-7,text,true,238,207
1340248064850,171,Get client/additionalEmployees,200,OK,Extra Profiles and Misc 6-8,text,true,149,171
1340248065759,494,Get client/projects,200,OK,Extra Profiles and Misc 6-9,text,true,228712,416
