sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Group Encode,746,385,274,3747,251.40616347524806,0.0,0.42768387396741003,0.003341280265370391,8.0
Project Encode,746,316,273,1348,76.9249158887227,0.0,0.42777265202415027,0.003341973843938674,8.0
Client Encode,746,319,273,1323,77.37388306077253,0.0,0.427774369090148,0.0016709936292583906,4.0
/,746,181,80,579,72.18325776268419,0.0,0.42781926299242945,6.341668547814537,15179.0
/language_tmp/en.js,1475,19,2,415,32.01100859191305,0.0,0.8459368363338761,4.4543861538205665,5392.0
/static/r07/widget52.css,746,19,2,579,43.0993798221254,0.0,0.42784257228589523,15.67809051021087,37524.0
/__utm.gif,2204,26,11,272,33.03524146110758,0.0,1.2607548855681892,0.04309220800281896,35.0
/connect.php/en_US/js/Api/CanvasUtil/Connect/XFBML,746,37,5,909,72.95480788663322,0.0,0.4278518967144874,88.35434144036685,211463.0
/connect.php/en_US/css/bookmark-button-css/connect-button-css/share-button-css/FB.Connect-css/connect-css,746,10,1,277,24.222538244918,0.0,0.4278595037862125,5.969977138766995,14288.0
/static/r07/sh32.html,746,11,2,259,25.104721729081366,0.0,0.42786048536355814,7.723633859321652,18485.0
/static/r07/widget28.png,746,27,2,1036,59.2330770746613,0.0,0.4278609761539198,19.275053409137183,46131.0
/extern/login_status.php,746,96,10,2384,110.45199950799957,0.0,0.4278496882604584,0.45333682789316143,1085.0
/activity;src=982522;met=1;v=1;pid=58248358;aid=235738648;ko=0;cid=40363060;rid=40380847;rv=1;&timestamp=1297858082049;eid1=2;ecn1=0;etm1=120;,746,93,43,825,61.92605599271592,0.0,0.4278408546723261,0.01776882822361739,42.52815013404826
/static/v0.4/client_restserver.php,746,141,73,1860,144.86610034050832,0.0,0.42756621401580386,0.27766751203174767,665.0
/images/connect_sprite.png,746,8,1,233,21.42792266488767,0.0,0.42761278000468883,0.8001036000868983,1916.0
/connect.php,746,12,1,2909,109.21929000318464,0.0,0.42690191670949035,7.692989325234596,18453.0
/connect.php/en_US,746,15,1,2930,130.1671118621911,0.0,0.426897763708082,7.692914486040271,18453.0
/live/t00/250lo.gif,746,21,1,1159,90.01126395079336,0.0,0.42687016051691345,0.017925211818581324,43.0
/xd_receiver.htm,746,18,1,353,31.07885165332319,0.0,0.4268743129812707,0.12381022554241934,297.0
/js/api_lib/v0.4/XdCommReceiver.js,746,8,1,203,19.093360831648713,0.0,0.4268589248419306,1.4114690620261494,3386.0
/index.php,746,20663,4291,42330,5205.405283940171,0.0160857908847185,0.42581415552376856,146.34837605554534,351939.3029490617
/dashboard.php,1450,19203,4138,37976,5089.185646821744,0.01310344827586207,0.8392039022402693,288.8616573904492,352470.164137931
/images/spacer.gif,729,21,1,675,44.09572977001775,0.0,0.4285691610097301,0.017996556565838276,43.0
/js/jquery.js,729,51,11,921,59.30101095472432,0.0,0.4285626104107205,23.969372874455846,57272.0
/js/dashboard.js,729,34,5,310,42.85748873565086,0.0,0.4285411963882618,8.30968163621614,19856.0
/images/loading.gif,729,18,1,944,46.52716464141139,0.0,0.428541952140858,0.32224346010591864,770.0
/images/load.gif,729,19,3,247,31.252940468423702,0.0,0.4285464867124136,3.4476230054070927,8238.0
/adserver/PanelistPartner.aspx,1458,92,41,3101,102.60830208531445,0.0,0.8567072006298972,2.442954126796191,2920.0
/cgi-bin/m,729,256,100,3353,323.6223852342918,0.0,0.42845807987304946,0.07113073591642423,170.0
/panel/set_panel_cookie.php,729,81,31,3956,155.9918660003628,0.0,0.42848427068920725,0.017992991835581944,43.0
/images/surveyhead/newLook_crnr.png,729,51,2,3123,251.7686975595496,1.0,0.428516006160285,0.14813932244212977,354.0
/images/surveyhead/imgv2/int_navbg_hover2.jpg,729,23,2,2986,165.57295254593234,1.0,0.42853892914646685,0.1481472469900872,354.0
/images/surveyhead/round-corner_460wide.gif,729,13,2,277,30.936744611616298,1.0,0.42853766957805794,0.14814681155335205,354.0
/images/surveyhead/round-corner_380wide.gif,729,14,2,2982,112.38232866346495,1.0,0.42853766957805794,0.14814681155335205,354.0
/ajaxRewardBoxV2.php,729,331,154,1234,117.77194022017885,0.0,0.42849283376594066,13.078732123355387,31255.18244170096
/recruit/us/2770260,729,16,1,1535,68.80379769474426,0.006858710562414266,0.42853666192866186,4.936952498856648E-4,1.1796982167352539
/adserver/fscookie/fscookie.swf,729,79,36,3048,126.64815358414036,0.0,0.42855454840990975,0.3331341997405158,796.0
/ajaxProfilesBoxV2.php,1431,1283,435,3115,336.71701795355943,0.0,0.8371725681189943,11.602005268892691,14191.164220824598
/pixel;r=292682266;fpan=0;fpa=P0-1712425790-1296101017610;ns=0;url=http%3A%2F%2Fwww.p.surveyhead.com%2Fdashboard.php;ref=http%3A%2F%2Fwww.p.surveyhead.com%2F;ce=1;je=1;sr=1280x960x16;enc=n;ogl=;dst=1;et=1297858118190;tzo=480;a=p-833T_QPdA5xtA,729,17,2,431,37.699546076770254,0.0,0.42848729291250276,0.0,0.0
/fp.gif,729,14,2,1076,63.60354098331625,0.0,0.42848704105893315,0.017993108169466917,43.0
/ajaxCivicScienceDashboard.php,729,269,110,3359,178.6456627636523,0.0,0.42775163414033074,0.5451326978057925,1305.0
/js/jscrollerV2.js,729,19,2,934,44.89676251117098,0.0,0.4277794958069981,1.6267317936254402,3894.0
/ajaxChkAccComplete.php,1425,243,92,1987,103.69105136336921,0.0,0.8361061743360584,0.009798119230500684,12.0
/pixel,729,115,42,741,70.48162299121793,0.0,0.42771147956489597,0.01796054064579153,43.0
/getDashboard.php,1431,6793,108,20254,1490.4301662383286,0.004891684136967156,0.8376106497716326,68.44041381207377,83670.12019566736
/images/surveyhead/subBut4.png,728,48,2,3697,243.25541918446584,1.0,0.43031523546459566,0.14876132163522154,354.0
Click Survey 1,728,256,119,935,82.81588825938921,0.0,0.4302519101293592,0.0,0.0
Click Survey 2,728,715,184,7406,976.2521781736348,0.0,0.4302119916865078,0.13967266012395776,332.4519230769231
/ssred.php,1449,19875,6340,41302,5217.604150007452,0.008281573498964804,0.8514699167862975,294.5991427116687,354292.63699102827
TOTAL,42532,2051,1,42330,5773.449052372674,0.086969810965861,24.250607091928458,1013.4476215322421,42793.58287877363
