2016/04/06 11:26:03 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: Loading user properties from: D:\jakarta-jmeter-2.3.4\bin\user.properties 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: Loading system properties from: D:\jakarta-jmeter-2.3.4\bin\system.properties 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: Copyright (c) 1998-2009 The Apache Software Foundation 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: Version 2.3.4 r785646 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: java.version=1.8.0_51 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: os.name=Windows 7 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: os.arch=amd64 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: os.version=6.1 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: JMeterHome=D:\jakarta-jmeter-2.3.4 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: user.dir  =D:\jakarta-jmeter-2.3.4\bin 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: PWD       =D:\jakarta-jmeter-2.3.4\bin 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: IP: 192.168.114.138 Name: GOL05322 FullName: GOL05322.persistent.co.in 
2016/04/06 11:26:04 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2016/04/06 11:26:05 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2016/04/06 11:26:05 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2016/04/06 11:26:05 ERROR - jmeter.gui.action.Help: Couldn't load help file java.io.FileNotFoundException: D:\jakarta-jmeter-2.3.4\printable_docs\usermanual\component_reference.html (The system cannot find the path specified) 
2016/04/06 11:26:06 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2016/04/06 11:26:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2016/04/06 11:26:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2016/04/06 11:26:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2016/04/06 11:26:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2016/04/06 11:26:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2016/04/06 11:26:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2016/04/06 11:26:07 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2016/04/06 11:26:07 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.UserParameterModifierGui 
2016/04/06 11:26:07 INFO  - jmeter.protocol.http.sampler.HTTPSampler: Maximum connection retries = 10 
2016/04/06 11:26:07 INFO  - jmeter.protocol.http.sampler.HTTPSampler: Connection and read timeouts are available on this JVM 
2016/04/06 11:26:07 WARN  - jmeter.gui.util.MenuFactory: Missing jar? Could not create org.apache.jmeter.visualizers.MailerVisualizer. java.lang.NoClassDefFoundError: javax/mail/MessagingException 
2016/04/06 11:26:07 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2016/04/06 11:26:07 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2016/04/06 11:26:24 INFO  - jmeter.services.FileServer: Default base=D:\jakarta-jmeter-2.3.4\bin 
2016/04/06 11:26:24 INFO  - jmeter.gui.action.Load: Loading file: D:\API_AUTOMATION_PRODUCTION\4S_API_AUTOMATION_PRODUCTION_iPoll.jmx 
2016/04/06 11:26:24 INFO  - jmeter.services.FileServer: Set new base=D:\API_AUTOMATION_PRODUCTION 
2016/04/06 11:26:24 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2016/04/06 11:26:24 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2016/04/06 11:26:24 INFO  - jmeter.save.SaveService: Using SaveService properties file version 697317 
2016/04/06 11:26:24 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.1 
2016/04/06 11:26:24 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2016/04/06 11:26:24 INFO  - jmeter.protocol.http.sampler.HTTPSampler2: Local host = GOL05322 
2016/04/06 11:26:25 INFO  - jmeter.services.FileServer: Set new base=D:\API_AUTOMATION_PRODUCTION 
2016/04/06 11:26:29 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2016/04/06 11:26:29 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2016/04/06 11:26:29 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/04/06 11:26:29 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/04/06 11:26:29 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Normal Client - Survey Flow. Ramp up = 1. 
2016/04/06 11:26:29 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/04/06 11:26:29 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2016/04/06 11:26:29 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2016/04/06 11:26:29 INFO  - jmeter.engine.StandardJMeterEngine: Waiting for thread group: Normal Client - Survey Flow to finish before starting next group 
2016/04/06 11:26:29 INFO  - jmeter.threads.JMeterThread: Thread started: Normal Client - Survey Flow 1-1 
2016/04/06 11:26:30 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2016/04/06 11:26:30 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2016/04/06 11:26:30 INFO  - jmeter.util.SSLManager: JmeterKeyStore Location: C:\Users\neethi_thilakan\.keystore 
2016/04/06 11:26:30 INFO  - jmeter.util.SSLManager: KeyStore created OK, Type: JKS 
2016/04/06 11:26:30 WARN  - jmeter.util.SSLManager: Keystore file not found, loading empty keystore 
2016/04/06 11:28:13 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.io.IOException: Server returned HTTP response code: 400 for URL: https://www.ipoll.com/dashboard_survey_details.php?TYPE=4S&QGID=java.net.ConnectException:%20Connection%20timed%20out:%20connect
 
2016/04/06 11:28:13 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.io.IOException: Server returned HTTP response code: 400 for URL: https://www.ipoll.com/dashboard_survey_details.php?TYPE=4S&QGID=java.net.ConnectException:%20Connection%20timed%20out:%20connect
 
2016/04/06 11:28:13 INFO  - jmeter.protocol.http.sampler.HTTPSampler: Error Response Code: 400 
2016/04/06 11:28:14 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.io.IOException: Server returned HTTP response code: 400 for URL: https://www.ipoll.com/ssredirect.php?grpId=java.net.ConnectException:%20Connection%20timed%20out:%20connect
&prjId=java.net.ConnectException:%20Connection%20timed%20out:%20connect
&clientId=java.net.ConnectException:%20Connection%20timed%20out:%20connect
 
2016/04/06 11:28:14 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.io.IOException: Server returned HTTP response code: 400 for URL: https://www.ipoll.com/ssredirect.php?grpId=java.net.ConnectException:%20Connection%20timed%20out:%20connect
&prjId=java.net.ConnectException:%20Connection%20timed%20out:%20connect
&clientId=java.net.ConnectException:%20Connection%20timed%20out:%20connect
 
2016/04/06 11:28:14 INFO  - jmeter.protocol.http.sampler.HTTPSampler: Error Response Code: 400 
2016/04/06 11:28:42 WARN  - jmeter.extractor.BSFPostProcessor: Problem in BSF script org.apache.bsf.BSFException: JavaScript Error: Internal Error: org.mozilla.javascript.EcmaError: TypeError: Cannot read property "results" from undefined 
2016/04/06 11:28:56 INFO  - jmeter.util.BeanShellTestElement: Sleep for 0 milli-seconds 
2016/04/06 11:30:01 INFO  - jmeter.util.BeanShellTestElement: Sleep for 0 milli-seconds 
2016/04/06 11:31:07 INFO  - jmeter.threads.JMeterThread: Thread finished: Normal Client - Survey Flow 1-1 
