sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,248,2852,184,29828,4068.046780158029,0.0,0.78854573724257,27.370863711951873,35543.6129032258
/css/anylinkmenu.css,39,161,2,3596,581.5558266298941,0.0,0.1264702162640698,0.2366376312128494,1916.0
/js/anylinkmenu.js,39,586,3,11412,2295.4188346708042,0.0,0.12641938171197772,1.6185137639101839,13110.0
/language_tmp/en.js,39,268,2,6287,1039.370343705311,0.0,0.12631415301502166,0.5792688110923259,4696.0
/js/common.js,39,258,6,4136,711.4275598488981,0.0,0.12626916701201824,5.281725811157986,42833.0
/js/AC_ActiveX.js,39,118,3,1404,306.6155347133404,0.0,0.12623851310452874,0.3146100443776927,2552.0
/js/AC_RunActiveContent.js,39,155,2,3293,530.8332006539364,0.0,0.12615520972494929,0.46581332809573567,3781.0
/images//world_map.gif,39,56,2,801,134.6577564572349,0.0,0.12612338748015173,0.14755450996213065,1198.0
/js/jquery.js,78,1089,7,23296,3354.085734625794,0.0,0.22808884937948137,12.756938068028962,57272.0
/js/jquery.flash.js,39,34,2,293,65.79829916927959,0.0,0.12571196487801103,1.0809510261239133,8805.0
/js/JavaScriptFlashGateway.js,39,188,2,6470,1019.5019519901709,0.0,0.125664167346005,1.6434516885719717,13392.0
/js/login.js,39,58,2,717,123.72131521924273,0.0,0.12562935474830642,0.1956824422104968,1595.0
/images/spacer.gif,39,104,1,1698,336.14067528814326,0.0,0.12561842918985774,0.00527499263199598,43.0
/js/facebook.js,39,92,2,2081,328.0515265568286,0.0,0.1255496822627272,0.6561932612012851,5352.0
/css/pl_facebook.css,39,55,2,924,150.8150288020313,0.0,0.1255125094134382,0.452041147184336,3688.0
/images/icon-abtus.gif,39,193,2,6468,1019.0520178683867,0.0,0.1254741474996863,0.07413267503643575,605.0
/images/PL-bbb-logo.gif,39,53,2,852,141.31395702838086,0.0,0.1253837869118616,0.3419891766062788,2793.0
/ga.js,196,162,4,8697,795.301712385588,0.0,0.5605365135200835,13.759967129252283,25137.0
/images/surveyhead/fb-BG.png,39,329,211,2871,422.24203092050317,0.0,0.12509181418412874,0.4257275121403209,3485.0
/__utm.gif,196,60,4,3719,311.14568423488134,0.0,0.5610290876407581,0.019175798893971228,35.0
/quant.js,196,204,3,8605,794.03684296855,0.0,0.5594549310528885,2.876494347649861,5265.0
/pixel;r=1210992683;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2F;ref=;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886605750;tzo=420;a=p-833T_QPdA5xtA,39,69,4,963,206.98181735437262,0.0,0.12509502410484888,0.004275708831708702,35.0
/js/api_lib/v0.4/FeatureLoader.js.php/en_US,196,190,2,7724,889.8733963881231,0.0,0.5561025157964324,9.96477056869994,18349.0
/bootstrap/7aef8cd3bbb8833043cfd92aa8c6f1db/bootstrap.js,39,20,2,323,55.32647708289117,0.0,0.12505651592546632,0.15045862072282667,1232.0
/connect.php/en_US/js/Api/CanvasUtil/Connect/XFBML,196,140,5,2903,408.4412196439123,0.0,0.5561198722059233,114.80834080501188,211400.0
/flash/CB_Cookie.swf,39,114,4,1378,241.01441054032418,0.0,0.12499479188367153,0.2947875218740886,2415.0
/connect.php/en_US/css/bookmark-button-css/connect-button-css/share-button-css/FB.Connect-css/connect-css,196,147,2,11487,925.210319977708,0.0,0.5559305880951436,7.744482264821507,14265.0
/extern/login_status.php,196,301,21,10481,1076.579992193723,0.0,0.5557335541145548,0.03147709583851971,58.0
/rsrc.php/z6D2S/hash/c729bxo3.swf,39,76,2,1390,269.7172259710822,0.0,0.12492512500520521,0.3723354311678577,3052.0
/flash/JavaScriptFlashGateway.swf,39,70,3,544,98.443234142601,0.0,0.124886721339298,0.21721020576688452,1781.0
/images/connect_sprite.png,39,35,2,801,127.22599439153615,0.0,0.12488312220614042,0.23366802944039555,1916.0
/index.php,53,30018,470,72562,26815.94848155605,0.0,0.16112409899707847,9.798540368616978,62273.15094339623
/dashboard.php,39,45221,756,84349,29788.527317866155,0.0,0.11486804901036758,8.145515520992873,72613.82051282052
/js/dashboard.js,78,2090,2,22065,4434.227296919152,0.0,0.22556912826207662,2.174847659503401,9873.0
/pixel;r=1335294749;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fdashboard.php;ref=http%3A%2F%2Fwww.dev.stagesurveys.com%2F;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886623584;tzo=420;a=p-833T_QPdA5xtA,39,74,4,896,153.9904622335702,0.0,0.11503746091676006,0.003931944464928323,35.0
/fp.gif,157,120,2,4081,502.70318183389685,0.0,0.44964543881958047,0.018881595575431603,43.0
/profiles.php,53,10546,820,55107,9457.252093039468,0.0,0.15399948279418987,8.010058704130673,53261.8679245283
/pixel;r=47636167;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofiles.php;ref=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fdashboard.php;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886629337;tzo=420;a=p-833T_QPdA5xtA,39,192,4,2003,453.5743050814406,0.0,0.1120847475650307,0.0038310216452891355,35.0
/images/load.gif,39,2399,2,17984,4524.627724432965,0.0,0.11192327229210253,0.9004139815843171,8238.0
/js/profile_questions.js,39,2352,15,22762,4882.838213350047,0.0,0.11184591647691099,13.720239060788256,125615.0
/profile.php,23,18904,498,37284,11963.8453956194,0.0,0.09610563262577301,1007.6872998887474,1.0736850347826088E7
/pixel;r=865751900;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofile.php%3FPrId%3DMTA0%26PrLId%3DMg%3D%3D;ref=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofiles.php;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886642029;tzo=420;a=p-833T_QPdA5xtA,23,72,4,966,194.86192096447672,0.0,0.09612772448958268,0.003285615583140033,35.0
/profile.php?SPTPage=2&PrId=MTA0&PrLId=Mg==,37,5715,669,18845,5724.175517423727,0.0,0.1450314953531125,5.32957825478114,37629.67567567567
/profile.php?PrId=MTA0&PrLId=Mg==,14,14459,590,44468,13175.547946627403,0.0,0.059734862545814504,423.6966299670605,7263184.857142857
/pixel;r=2128622002;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofile.php%3FSPTPage%3D2%26PrId%3DMTA0%26PrLId%3DMg%3D%3D;ref=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofile.php%3FPrId%3DMTA0%26PrLId%3DMg%3D%3D;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886651861;tzo=420;a=p-833T_QPdA5xtA,14,36,4,285,74.04359581781975,0.0,0.05961556477231112,0.002037641374053603,35.0
/profile.php?SPTPage=3&PrId=MTA0&PrLId=Mg==,28,4336,423,51069,9178.229519687957,0.0,0.09908558163236418,0.9994124534651643,10328.42857142857
