sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,241,1826,120,12809,1664.3730748661246,0.0,0.7083818325044384,24.731603474451227,35750.72199170125
/css/anylinkmenu.css,38,529,3,4966,1337.2094822599724,0.0,0.11240441926848387,0.21031920636563975,1916.0
/js/anylinkmenu.js,38,201,2,2013,508.4667926466553,0.0,0.11240441926848387,1.4390839224705307,13110.0
/language_tmp/en.js,38,49,2,268,90.55260098807969,0.0,0.11240475176297979,0.5154811662880401,4696.0
/js/common.js,38,190,6,1869,392.92183429663976,0.0,0.112404086775955,4.701761961791485,42833.0
/js/AC_ActiveX.js,38,65,2,477,117.55669346015699,0.0,0.11240574925826996,0.28013620322959465,2552.0
/js/AC_RunActiveContent.js,38,66,2,861,173.77376479100604,0.0,0.11240574925826996,0.41504505658742064,3781.0
/images//world_map.gif,38,57,2,1463,234.05770442942074,0.0,0.11240608176063421,0.13150633393480446,1198.0
/js/jquery.js,76,1667,7,32355,4459.163611962216,0.0,0.21061324480187113,11.779532965129652,57272.0
/js/jquery.flash.js,38,36,2,597,98.75854042805223,0.0,0.1123864674862992,0.9663699670086566,8805.0
/js/JavaScriptFlashGateway.js,38,69,2,858,166.2907542783084,0.0,0.11241106953216289,1.4701260187253176,13392.0
/js/login.js,38,24,2,362,60.075120333649714,0.0,0.11241273222103894,0.17509600380132528,1595.0
/images/spacer.gif,38,42,2,539,88.37209249136257,0.0,0.11241372985797413,0.004720498421770398,43.0
/js/facebook.js,38,58,2,858,189.9286150343446,0.0,0.11241506006809986,0.5875443373871782,5352.0
/css/pl_facebook.css,38,46,2,861,140.42901470759222,0.0,0.11241506006809986,0.4048698647765159,3688.0
/images/icon-abtus.gif,38,45,2,744,122.85509334666935,0.0,0.11241472751261707,0.06641690443860677,605.0
/images/PL-bbb-logo.gif,38,45,2,607,118.82350618993154,0.0,0.11241506006809986,0.3066164675490263,2793.0
/ga.js,189,446,5,48497,3631.550716834548,0.0,0.5056233881582467,12.411967879036961,25137.0
/images/surveyhead/fb-BG.png,38,284,208,952,131.02760541008666,0.0,0.11234460228532572,0.38234466695738295,3485.0
/__utm.gif,189,92,4,4303,477.6881659357195,0.0,0.506117596021755,0.017298941270274832,35.0
/quant.js,189,152,4,9924,806.3321302126116,0.0,0.5061148854011295,2.602241085582956,5265.0
/pixel;r=1210992683;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2F;ref=;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886605750;tzo=420;a=p-833T_QPdA5xtA,38,3,2,4,0.4830936776496265,0.0,0.11246097160360466,0.0038438808653575816,35.0
/js/api_lib/v0.4/FeatureLoader.js.php/en_US,189,260,2,13996,1353.0425155060102,0.0,0.5061148854011295,9.06855070052727,18348.0
/bootstrap/7aef8cd3bbb8833043cfd92aa8c6f1db/bootstrap.js,38,4,2,32,4.938471844115815,0.0,0.11246429998372227,0.13530861091791585,1232.0
/connect.php/en_US/js/Api/CanvasUtil/Connect/XFBML,189,281,5,14220,1616.5736347140228,0.0,0.5061555477593913,104.4929459382691,211399.0
/flash/CB_Cookie.swf,38,163,2,4770,759.3252166404318,0.0,0.11247694962512617,0.2652654622506638,2415.0
/connect.php/en_US/css/bookmark-button-css/connect-button-css/share-button-css/FB.Connect-css/connect-css,189,122,2,4152,490.6808936253771,0.0,0.5061853709749559,7.051498356404049,14265.0
/extern/login_status.php,189,539,20,58411,4253.49180999557,0.0,0.50605525909226,0.028663286159522544,58.0
/rsrc.php/z6D2S/hash/c729bxo3.swf,38,6,2,21,4.5403698581451994,0.0,0.11253757422297248,0.335414723172375,3052.0
/flash/JavaScriptFlashGateway.swf,38,48,2,859,135.45528286674423,0.0,0.11254390693211233,0.19574286938094926,1781.0
/images/connect_sprite.png,38,6,2,54,9.405308809125506,0.0,0.112543573613863,0.21057957719156398,1916.0
/index.php,51,24753,375,64930,22603.14150560354,0.0,0.14600546232200215,8.589795126244624,60243.98039215686
/dashboard.php,38,32937,410,59202,20016.500684528743,0.0,0.10595701491205568,7.181539482232681,69404.52631578948
/js/dashboard.js,76,1685,2,13805,3126.0700381879656,0.0,0.20459807247079093,1.9726530952188661,9873.0
/pixel;r=1335294749;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fdashboard.php;ref=http%3A%2F%2Fwww.dev.stagesurveys.com%2F;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886623584;tzo=420;a=p-833T_QPdA5xtA,38,20,3,338,57.48113625295474,0.0,0.10606851467792854,0.0036253886852807603,35.0
/fp.gif,151,53,2,2302,253.79891250233712,0.0,0.40651829197705186,0.01707059233888011,43.0
/profiles.php,51,24262,562,102845,23641.926093493883,0.0,0.13799373346104518,7.140604960468854,52987.76470588235
/pixel;r=47636167;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofiles.php;ref=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fdashboard.php;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886629337;tzo=420;a=p-833T_QPdA5xtA,38,573,3,15972,2625.4030667990573,0.0,0.10251097946543221,0.00350379324344739,35.0
/images/load.gif,38,3121,3,53514,8794.55467121323,0.0,0.10251319182915906,0.824710619422473,8238.0
/js/profile_questions.js,38,6375,11,56002,15260.984984916071,0.0,0.10252895768521991,12.577319355106347,125615.0
/profile.php,23,23111,317,55538,17313.322604371024,0.0,0.10169521501905679,1066.2952194820398,1.0736850347826088E7
/pixel;r=865751900;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofile.php%3FPrId%3DMTA0%26PrLId%3DMg%3D%3D;ref=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofiles.php;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886642029;tzo=420;a=p-833T_QPdA5xtA,23,41,3,778,158.32938077512702,0.0,0.10179693723997521,0.0034793875033194656,35.0
/profile.php?SPTPage=2&PrId=MTA0&PrLId=Mg==,36,11061,431,53904,14471.864697865763,0.0,0.12453730930224514,4.703350940083717,38673.0
/profile.php?PrId=MTA0&PrLId=Mg==,13,20146,621,42794,17008.965595798392,0.0,0.059302511233264146,452.98582263702303,7821886.0
/pixel;r=2128622002;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofile.php%3FSPTPage%3D2%26PrId%3DMTA0%26PrLId%3DMg%3D%3D;ref=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofile.php%3FPrId%3DMTA0%26PrLId%3DMg%3D%3D;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886651861;tzo=420;a=p-833T_QPdA5xtA,13,105,3,1048,276.9987503443069,0.0,0.05935476801417209,0.0020287274223593976,35.0
/profile.php?SPTPage=3&PrId=MTA0&PrLId=Mg==,26,9356,298,57015,17445.05288264849,0.0,0.0820484338216267,0.7801411874065121,9736.5
/pixel;r=1108922270;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofile.php%3FSPTPage%3D3%26PrId%3DMTA0%26PrLId%3DMg%3D%3D;ref=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofile.php%3FSPTPage%3D2%26PrId%3DMTA0%26PrLId%3DMg%3D%3D;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886656378;tzo=420;a=p-833T_QPdA5xtA,13,361,3,1846,676.9905648176133,0.0,0.04162277598301791,0.0014226534759820574,35.0
/pixel;r=178183203;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Fprofiles.php%3FPrId%3DMTA0;ref=;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886661927;tzo=420;a=p-833T_QPdA5xtA,13,156,3,1907,505.85421339265383,0.0,0.04007188279282528,0.0013696444313953955,35.0
/pixel;r=1862662086;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2Findex.php%3Fmode%3Dlogout;ref=;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886666475;tzo=420;a=p-833T_QPdA5xtA,13,1232,2,15972,4255.071616499358,0.0,0.03995561852834237,0.001365670555167952,35.0
TOTAL,3168,2125,2,102845,8593.58750428348,0.0,8.421410798970717,1126.5448229996823,136982.02430555556
