sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/index.php,1108,4222,84,17116,5483.827475917808,0.0,3.5409995334061986,350.66896400696214,101407.8131768953
/__utm.gif,1400,9,3,171,16.375410884391666,0.0,4.717076490764638,0.16122820036793198,35.0
/pixel;r=278784017;fpan=0;fpa=P0-2040382711-1297768517354;ns=0;url=http%3A%2F%2Fsm.p.surveyhead.com%2Findex.php%3Fmode%3Dlogout;ref=;ce=1;je=0;sr=1280x1024x16;enc=n;ogl=;dst=1;et=1298525752851;tzo=480;a=p-833T_QPdA5xtA,386,17,7,127,21.1146306206147,0.0,1.3011133620297368,0.0,0.0
/connect.php/en_US/css/bookmark-button-css/connect-button-css/share-button-css/FB.Connect-css/connect-css,386,30,2,227,42.03230835164375,0.0,1.3011835376685892,18.127621433964933,14266.0
/extern/login_status.php,1399,66,12,2285,81.54681302259007,0.0,4.7160111781937575,5.0701162716712345,1100.8877769835597
/dashboard.php,723,10881,176,17059,2535.7348915134494,0.0,2.3499050937361865,513.2053644739772,223635.53941908714
/panel/set_panel_cookie.php,356,54,28,1448,82.58701955981192,0.0,1.2140888876763158,0.05098224821297029,43.0
/adserver/PanelistPartner.aspx,712,47,27,226,31.25666924793917,0.0,2.429967782449626,6.929205004641512,2920.0
/ajaxChkAccComplete.php,696,274,81,753,132.68584099231595,0.0,2.3768624732346844,0.018569238072145975,8.0
/pixel;r=665287176;fpan=0;fpa=P0-2040382711-1297768517354;ns=0;url=http%3A%2F%2Fsm.p.surveyhead.com%2Fdashboard.php;ref=;ce=1;je=0;sr=1280x1024x16;enc=n;ogl=;dst=1;et=1298525793836;tzo=480;a=p-833T_QPdA5xtA,341,15,7,129,18.71498283836585,0.0,1.1687768630166095,0.0,0.0
/profiles.php,340,6919,249,24313,4817.841947232403,0.0,1.156470452179947,74.8744397814781,66297.78235294118
/pixel;r=2032950705;fpan=0;fpa=P0-2040382711-1297768517354;ns=0;url=http%3A%2F%2Fsm.p.surveyhead.com%2Fprofiles.php;ref=http%3A%2F%2Fsm.p.surveyhead.com%2Fdashboard.php;ce=1;je=0;sr=1280x1024x16;enc=n;ogl=;dst=1;et=1298525806289;tzo=480;a=p-833T_QPdA5xtA,337,15,7,105,17.225827777954667,0.0,1.158055703510249,0.0,0.0
/pixel;r=799236087;fpan=0;fpa=P0-2040382711-1297768517354;ns=0;url=http%3A%2F%2Fsm.p.surveyhead.com%2Findex.php%3Fmode%3Dlogout;ref=;ce=1;je=0;sr=1280x1024x16;enc=n;ogl=;dst=1;et=1298525824961;tzo=480;a=p-833T_QPdA5xtA,336,15,7,206,20.052680053405904,0.0,1.1562762398997894,0.0,0.0
TOTAL,8520,1793,2,24313,4056.23173932182,0.0,27.228624570957415,954.3392849010565,35890.29718309859
