sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/index.php,1129,4280,76,16605,5719.087853957639,0.0,3.6430636584232534,361.40115668884556,101583.39769707706
/__utm.gif,1425,11,3,657,34.67209252232818,0.0,4.765790653030375,0.16289323521099913,35.0
/pixel;r=278784017;fpan=0;fpa=P0-2040382711-1297768517354;ns=0;url=http%3A%2F%2Fsm.p.surveyhead.com%2Findex.php%3Fmode%3Dlogout;ref=;ce=1;je=0;sr=1280x1024x16;enc=n;ogl=;dst=1;et=1298525752851;tzo=480;a=p-833T_QPdA5xtA,393,14,5,143,19.194980939851888,0.0,1.319349792194015,0.0,0.0
/connect.php/en_US/css/bookmark-button-css/connect-button-css/share-button-css/FB.Connect-css/connect-css,393,11,2,130,20.928336306822164,0.0,1.3193542214299383,18.380768870038573,14266.0
/extern/login_status.php,1425,64,13,4328,120.81919550953123,0.0,4.762127551497814,5.119711375385983,1100.8912280701754
/dashboard.php,743,11708,156,16024,2720.3518317715025,0.0,2.3870182190852223,521.1331360265062,223559.3876177658
/panel/set_panel_cookie.php,363,49,27,595,51.71526328040804,0.0,1.217842908329643,0.05113988775212368,43.0
/adserver/PanelistPartner.aspx,726,46,27,215,29.62092603734483,0.0,2.435497884874082,6.944974437336249,2920.0
/ajaxChkAccComplete.php,709,281,79,3303,287.80635082417535,0.0,2.378324706734785,0.018580661771365508,8.0
/pixel;r=665287176;fpan=0;fpa=P0-2040382711-1297768517354;ns=0;url=http%3A%2F%2Fsm.p.surveyhead.com%2Fdashboard.php;ref=;ce=1;je=0;sr=1280x1024x16;enc=n;ogl=;dst=1;et=1298525793836;tzo=480;a=p-833T_QPdA5xtA,346,14,5,107,19.030180189040024,0.0,1.1640621057412484,0.0,0.0
/profiles.php,346,3827,178,15709,2889.6883726928104,0.0,1.1360651431573419,67.15266170356416,60528.50578034682
/pixel;r=2032950705;fpan=0;fpa=P0-2040382711-1297768517354;ns=0;url=http%3A%2F%2Fsm.p.surveyhead.com%2Fprofiles.php;ref=http%3A%2F%2Fsm.p.surveyhead.com%2Fdashboard.php;ce=1;je=0;sr=1280x1024x16;enc=n;ogl=;dst=1;et=1298525806289;tzo=480;a=p-833T_QPdA5xtA,343,15,5,193,21.635101980785244,0.0,1.1614795149553185,0.0,0.0
/pixel;r=799236087;fpan=0;fpa=P0-2040382711-1297768517354;ns=0;url=http%3A%2F%2Fsm.p.surveyhead.com%2Findex.php%3Fmode%3Dlogout;ref=;ce=1;je=0;sr=1280x1024x16;enc=n;ogl=;dst=1;et=1298525824961;tzo=480;a=p-833T_QPdA5xtA,343,13,5,96,15.900512204524796,0.0,1.1610234607976875,0.0,0.0
TOTAL,8684,1755,2,16605,4104.787812901309,0.0,27.833511753280472,973.7565174696633,35824.68079226163
