timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,Latency
1439294035844,2865,Fixed CPI-Show,200,OK,text,true,2865
1439294038711,1045,Fixed CPI-Hide,200,OK,text,true,1045
1439294039757,441,Fixed CPI-Reward,200,OK,text,true,441
1439294040200,864,Whole CPI-Show,200,OK,text,true,864
1439294041065,453,Whole CPI-Hide,200,OK,text,true,453
1439294041519,427,Whole CPI-Reward,200,OK,text,true,427
1439294041947,1016,Whole CPI-Show (US),200,OK,text,true,1016
1439294042964,519,Whole CPI-Hide (US),200,OK,text,true,519
1439294043484,544,Whole CPI-Reward (US),200,OK,text,true,544
1439294044029,479,WholeCPI-Sweepstake (US),200,OK,text,true,479
1439294044517,555,CPI After Reward Cost-Show,200,OK,text,true,555
1439294045073,549,CPI After Reward Cost-Hide,200,OK,text,true,549
1439294045623,506,CPI After Reward Cost-Reward,200,OK,text,true,506
1439294046130,493,CPI After Reward Cost-Show (US),200,OK,text,true,493
1439294046624,592,CPI After Reward Cost-Hide (US),200,OK,text,true,592
1439294047217,470,CPI After Reward Cost-Reward (US),200,OK,text,true,470
1439294047688,475,CPI After Reward Cost-Sweepstake (US),200,OK,text,true,475
1439294048165,457,First CPI (Whole),200,OK,text,true,457
1439294048623,1177,Sweepstake-Hide,200,OK,text,true,1177
1439294049801,1535,First CPI (CPI after reward cost),200,OK,text,true,1535
1439294051337,519,Sweepstake-Hide,200,OK,text,true,519
1439294051857,911,Manual CPI- Fixed CPI Show,200,OK,text,true,911
1439294052769,1122,Manual CPI- Whole CPI Show,200,OK,text,true,1122
1439294053892,1153,Manual CPI-CPI After Reward Cost-Show,200,OK,text,true,1153
1439294055047,463,Publisher Virtual Currency,200,OK,text,true,463
1439294055512,408,Disable Dashboard- Show,200,OK,text,true,408
1439294055921,424,Disable Dashboard- Hide,200,OK,text,true,424
1439294056346,1433,Publisher Category- Show,200,OK,text,true,1433
1439294057781,473,Publisher Category- Hide,200,OK,text,true,473
1439294058255,921,Site Virtual Currency,200,OK,text,true,921
1439294059177,1460,Private Panel - Show,200,OK,text,true,1460
1439294060638,1225,Private Panel- Hide,200,OK,text,false,1225
1439294061864,458,Incentive Grid 5-10 minutes,200,OK,text,true,458
1439294062323,458,Incentive grid 21-30 minutes,200,OK,text,true,458
1439294062782,475,Fixed CPI-Show,200,OK,text,true,475
1439294063258,1432,Fixed CPI-Hide,200,OK,text,true,1432
1439294064691,442,Fixed CPI-Reward,200,OK,text,true,442
1439294065134,472,Whole CPI-Show,200,OK,text,true,472
1439294065608,405,Whole CPI-Hide,200,OK,text,true,405
1439294066014,467,Whole CPI-Reward,200,OK,text,true,467
1439294066482,541,Whole CPI-Show (US),200,OK,text,true,541
1439294067024,818,Whole CPI-Hide (US),200,OK,text,true,818
1439294067843,602,Whole CPI-Reward (US),200,OK,text,true,602
1439294068445,515,WholeCPI-Sweepstake (US),200,OK,text,true,515
1439294068961,506,CPI After Reward Cost-Show,200,OK,text,true,506
1439294069468,450,CPI After Reward Cost-Hide,200,OK,text,true,450
1439294069919,1094,CPI After Reward Cost-Reward,200,OK,text,true,1094
1439294071012,460,CPI After Reward Cost-Show (US),200,OK,text,true,460
1439294071473,466,CPI After Reward Cost-Hide (US),200,OK,text,true,466
1439294071940,463,CPI After Reward Cost-Reward (US),200,OK,text,true,463
1439294072404,456,CPI After Reward Cost-Sweepstake (US),200,OK,text,true,456
1439294072861,429,First CPI (Whole),200,OK,text,true,429
1439294073291,464,Sweepstake-Hide,200,OK,text,true,464
1439294073756,1339,First CPI (CPI after reward cost),200,OK,text,true,1339
1439294075096,499,Sweepstake-Hide,200,OK,text,true,499
1439294075597,1000,Manual CPI- Fixed CPI Show,200,OK,text,true,1000
1439294076598,1401,Manual CPI- Whole CPI Show,200,OK,text,true,1401
1439294078001,436,Manual CPI-CPI After Reward Cost-Show,200,OK,text,true,436
1439294078439,468,Publisher Virtual Currency,200,OK,text,true,468
1439294078908,427,Disable Dashboard- Show,200,OK,text,true,427
1439294079336,442,Disable Dashboard- Hide,200,OK,text,true,442
1439294079779,1344,Publisher Category- Show,200,OK,text,true,1344
1439294081124,482,Publisher Category- Hide,200,OK,text,true,482
1439294081607,419,Site Virtual Currency,200,OK,text,true,419
1439294082027,772,Private Panel - Show,200,OK,text,true,772
1439294082800,490,Private Panel- Hide,200,OK,text,false,490
1439294083291,462,Incentive Grid 5-10 minutes,200,OK,text,true,462
1439294083754,458,Incentive grid 21-30 minutes,200,OK,text,true,458
1439294084213,1149,Fixed CPI-Show,200,OK,text,true,1149
1439294085362,444,Fixed CPI-Hide,200,OK,text,true,444
1439294085808,452,Fixed CPI-Reward,200,OK,text,true,452
1439294086261,448,Whole CPI-Show,200,OK,text,true,448
1439294086710,400,Whole CPI-Hide,200,OK,text,true,400
1439294087111,453,Whole CPI-Reward,200,OK,text,true,453
1439294087565,461,Whole CPI-Show (US),200,OK,text,true,461
1439294088027,441,Whole CPI-Hide (US),200,OK,text,true,440
1439294088469,527,Whole CPI-Reward (US),200,OK,text,true,527
1439294088997,1102,WholeCPI-Sweepstake (US),200,OK,text,true,1101
1439294090100,424,CPI After Reward Cost-Show,200,OK,text,true,424
1439294090525,459,CPI After Reward Cost-Hide,200,OK,text,true,459
1439294090985,457,CPI After Reward Cost-Reward,200,OK,text,true,457
1439294091443,460,CPI After Reward Cost-Show (US),200,OK,text,true,460
1439294091904,962,CPI After Reward Cost-Hide (US),200,OK,text,true,962
1439294092867,470,CPI After Reward Cost-Reward (US),200,OK,text,true,470
1439294093338,478,CPI After Reward Cost-Sweepstake (US),200,OK,text,true,478
1439294093817,962,First CPI (Whole),200,OK,text,true,962
1439294094780,583,Sweepstake-Hide,200,OK,text,true,583
1439294095364,449,First CPI (CPI after reward cost),200,OK,text,true,449
1439294095814,449,Sweepstake-Hide,200,OK,text,true,449
1439294096264,1512,Manual CPI- Fixed CPI Show,200,OK,text,true,1512
1439294097778,484,Manual CPI- Whole CPI Show,200,OK,text,true,484
1439294098263,422,Manual CPI-CPI After Reward Cost-Show,200,OK,text,true,422
1439294098686,427,Publisher Virtual Currency,200,OK,text,true,427
